"id","name","code","account_type","","tag_ids/id","reconcile"
"581","Xhirime të brendshme","581","asset_current",,"",""
"608","Blerje / Shpenzime të tjera","608","expense_direct_cost",,"",""
"669","Humbje nga këmbimet dhe përkthimet valutore","669","expense",,"",""
"6901","Tatim mbi fitimin","6901","expense",,"",""
"7088","Të tjera","7088","income",,"",""
"769","Fitim nga këmbimet dhe përkthimet valutore","769","income_other",,"",""
"771","Te ardhura nga rivlersimi / Shitja e aktiveve afatgjata","771","income_other",,"",""
"4456","Shteti - TVSH e zbritshme","4456","liability_current",,"",""
"4453","Shteti - TVSH për t'u paguar","4453","liability_current",,"",""
"401","Furnitorë për mallra, produkte dhe shërbime","401","liability_payable",,"","True"
"411","Klientë për mallra, produkte dhe sherbime","411","asset_receivable",,"","True"
"101","Kapital i paguar","101","equity",,"",""
"102","Kapital i nënshkruar i papaguar","102","equity",,"",""
"104","Prime të lidhura me kapitalin","104","equity",,"",""
"105","Zbritje të lidhura me kapitalin","105","equity",,"",""
"106","Rezerva nga rivlerësimi","106","equity",,"",""
"1071","Rezerva ligjore","1071","equity",,"",""
"1073","Rezerva statutore","1073","equity",,"",""
"1078","Rezerva të tjera","1078","equity",,"",""
"108","Fitim / Humbja e pashpërmdarë","108","equity",,"",""
"109","Rezultati i ushtrimit","109","equity_unaffected",,"",""
"201","Emri i mirë","201","asset_non_current",,"",""
"205","Koncensione (kur marrëveshja koncesionare krijon një aktiv jomaterial)","205","asset_non_current",,"",""
"206","Patenta, licenca, marka tregtare, të drejta intelektuale dhe aktive të ngjashme","206","asset_non_current",,"",""
"208","Të tjera Aktive Afatgjata jomateriale","208","asset_non_current",,"",""
"211","Toka","211","asset_fixed",,"",""
"212","Ndërtesa","212","asset_fixed",,"",""
"213","Instalime teknike, makineri, pajisje, instrumenta dhe vegla pune","213","asset_fixed",,"",""
"215","Mjete transporti","215","asset_fixed",,"",""
"2181","Mobilje dhe pajisje zyre","2181","asset_fixed",,"",""
"2182","Pajisje informative","2182","asset_fixed",,"",""
"2183","Të tjera","2183","asset_fixed",,"",""
"231","Aktive afatgjata materiale në proces","231","asset_non_current",,"",""
"232","Aktive afatgjata jomateriale në proces","232","asset_non_current",,"",""
"261","Tituj pronësie të njësive ekonomike brenda grupit","261","asset_non_current",,"",""
"262","Tituj pronësie të njësive ekonomike ku ka interesa pjesëmarrëse","262","asset_non_current",,"",""
"263","Të tjerë tituj pronësie dhe letra me vlerë","263","asset_non_current",,"",""
"2651","Huadhënie afatgjatë në njësitë ekonomike brenda grupit","2651","asset_non_current",,"",""
"2652","Huadhënie afatgjatë në njësitë ekonomike ku ka interesa pjesëmarrëse","2652","asset_non_current",,"",""
"268","Të drejta të tjera afatgjata","268","asset_non_current",,"",""
"269","Koncesione (kur marrëveshja koncesionare krijon një aktiv financiar)","269","asset_non_current",,"",""
"2801","Për emrin e mirë","2801","asset_non_current",,"",""
"2805","Për koncesionet","2805","asset_non_current",,"",""
"2806","Për patentat, licencat, markat tregtare, të drejtat intelektuale dhe aktive të ngjashme","2806","asset_non_current",,"",""
"2808","Për të tjera aktive afatgjata jomateriale","2808","asset_non_current",,"",""
"2812","Për ndërtesat","2812","asset_fixed",,"",""
"2813","Për instalimet teknike, makineritë, pajisjet, instrumentat dhe veglat","2813","asset_fixed",,"",""
"2815","Për mjetet e transportit","2815","asset_fixed",,"",""
"2818","Për të tjera aktive afatgjata materiale","2818","asset_fixed",,"",""
"284","Amortizimi i aktiveve afatgjata biologjike","284","asset_non_current",,"",""
"2901","Për emrin e mirë","2901","asset_non_current",,"",""
"2905","Për koncesionet","2905","asset_non_current",,"",""
"2906","Për patentat, licencat, markat tregtare, të drejtat intelektuale dhe aktive të ngjashme","2906","asset_non_current",,"",""
"2908","Për të tjera aktive afatgjata jomateriale","2908","asset_non_current",,"",""
"2911","Për tokat","2911","asset_fixed",,"",""
"2912","Për ndërtesat","2912","asset_fixed",,"",""
"2913","Për instalimet teknike, makineritë, pajisjet, instrumentet dhe veglat","2913","asset_fixed",,"",""
"2915","Për mjetet e transportit","2915","asset_fixed",,"",""
"2918","Për të tjera aktive afatgjata materiale","2918","asset_fixed",,"",""
"293","Për aktivet në proces","293","asset_non_current",,"",""
"294","Për aktivet biologjike","294","asset_non_current",,"",""
"2961","Për tituj pronësie të njësive ekonomike brenda grupit","2961","asset_non_current",,"",""
"2962","Për tituj pronësie të njësive ekonomike ku ka interesa pjesëmarrëse","2962","asset_non_current",,"",""
"2963","Për të tjera tituj pronësie ose letra me vlerë","2963","asset_non_current",,"",""
"29651","Për huadhënie afatgjatë në njësitë ekonomike brenda grupit","29651","asset_non_current",,"",""
"29652","Për huadhënie afatgjatë në njësitë ekonomike ku ka interesa pjesëmarrëse","29652","asset_non_current",,"",""
"2966","Për të drejta të tjera afatgjata","2966","asset_non_current",,"",""
"311","Materiale të para","311","asset_current",,"",""
"3123","Materiale ndihmëse","3123","asset_current",,"",""
"3124","Lëndë djegëse","3124","asset_current",,"",""
"3125","Pjesë ndërrimi","3125","asset_current",,"",""
"3126","Materiale ambalazhimi","3126","asset_current",,"",""
"3127","Materiale të tjera","3127","asset_current",,"",""
"331","Prodhimi në proces","331","asset_current",,"",""
"332","Punime në proces","332","asset_current",,"",""
"333","Shërbime në proces","333","asset_current",,"",""
"341","Produkte të ndërmjetme","341","asset_current",,"",""
"342","Produkte të gatshme","342","asset_current",,"",""
"347","Nënprodukte dhe produkte mbeturinë","347","asset_current",,"",""
"371","Materiale të para","371","asset_current",,"",""
"372","Materiale të tjera","372","asset_current",,"",""
"374","Produkte të gatshme","374","asset_current",,"",""
"375","Mallra (dhe produkte) për shitje","375","asset_current",,"",""
"376","Gjë e gjallë","376","asset_current",,"",""
"391","Zhvlerësimi i materialeve të para","391","asset_current",,"",""
"392","Zhvlerësimi i materialeve të tjera","392","asset_current",,"",""
"393","Zhvlerësimi i prodhimeve në proces","393","asset_current",,"",""
"394","Zhvlerësimi i produkteve të gatshme","394","asset_current",,"",""
"395","Zhlverësimi i mallrave dhe (produkteve) për shitje","395","asset_current",,"",""
"4031","Premtim pagesa të pagueshme për hua afatshkurtër","4031","liability_payable",,"","True"
"4032","Premtim pagesa të pagueshme për furnizime","4032","liability_payable",,"","True"
"4041","Furnitorë për aktivet afatgjata materiale","4041","liability_payable",,"","True"
"4042","Furnitorë për aktivet afatgjata jomateriale","4042","liability_payable",,"","True"
"409","Parapagime të marraParapagime të marra","409","liability_payable",,"","True"
"413","Premtim pagesa të arkëtueshme","413","asset_receivable",,"","True"
"414","Klientë për aktive afatgjata","414","asset_receivable",,"","True"
"416","Të drejta për t'u arkëtuar nga proceset gjyqësore","416","asset_receivable",,"","True"
"418","Parapagime të dhëna","418","asset_receivable",,"","True"
"421","Paga dhe shpërblime","421","liability_current",,"",""
"423","Paradhënie për punonjësit","423","liability_current",,"",""
"431","Sigurime shoqërore dhe shëndetësore","431","liability_current",,"",""
"437","Organizma të tjerë shoqërorë","437","liability_current",,"",""
"438","Detyrime të tjera","438","liability_current",,"",""
"441","Akciza","441","liability_current",,"",""
"442","Tatim mbi të ardhurat personale","442","liability_current",,"",""
"443","Tatime të tjera për punonjësit","443","liability_current",,"",""
"444","Tatim mbi fitimin","444","liability_current",,"",""
"4454","Shteti - TVSH për t'u marrë","4454","liability_current",,"",""
"4457","Shteti - TVSH e pagueshme","4457","liability_current",,"",""
"4458","Shteti - TVSH për t'u rregulluar","4458","liability_current",,"",""
"447","Të tjera tatime për t'u paguar dhe për t'u kthyer","447","liability_current",,"",""
"448","Tatime të shtyra","448","liability_current",,"",""
"449","Tatimi në burim","449","liability_current",,"",""
"451","Të drejta dhe detyrime ndaj njësive ekonomike brenda grupit","451","asset_receivable",,"","True"
"452","Të drejta dhe detyrime ndaj njësive ekonomike ku ka interesa pjesëmarrëse","452","asset_receivable",,"","True"
"455","Të drejta dhe detyrime ndaj ortakëve dhe aksionerëve","455","asset_receivable",,"","True"
"456","Të drejta ndaj pronarëve për kapitalin e nënshkruar","456","asset_receivable",,"","True"
"457","Dividendë për t'u paguar","457","liability_current",,"",""
"4601","Shuma e kësteve të pagueshëm jo më vonë se një vit","4601","liability_current",,"",""
"4602","Shuma e kësteve të pagueshëm më vonë se një vit","4602","liability_current",,"",""
"4611","Bankat","4611","liability_current",,"",""
"4612","Të tjerë tituj të huamarrjes","4612","liability_current",,"",""
"4631","Provizione afatshkurtër","4631","liability_current",,"",""
"4632","Provizione afatgjatë","4632","liability_current",,"",""
"464","Detyrime për blerjet e letrave me vlerë","464","liability_current",,"",""
"465","Të drejta për t'u arkëtuar nga shitja e letrave me vlerë","465","asset_receivable",,"","True"
"4661","Afatshkurtra","4661","liability_current",,"",""
"4662","Afatgjata","4662","liability_current",,"",""
"467","Debitorë të tjerë, kreditorë të tjerë","467","liability_current",,"",""
"46811","Shuma e kësteve të pagueshëm jo më vonë se një vit","46811","liability_current",,"",""
"46812","Shuma e kësteve të pagueshëm më vonë se një vit","46812","liability_current",,"",""
"46821","Primi i obligacionit","46821","liability_current",,"",""
"46822","Zbritja e obligacionit","46822","liability_current",,"",""
"469","Huadhënie afatshkurtër (afat maturimi mbi tre muaj por jo më shumëse një vit)","469","liability_current",,"",""
"481","Shpenzime të konstatuara të papaguara","481","liability_current",,"",""
"483","Interesa të konstatuar të pa arkëtuar","483","asset_current",,"",""
"484","Interesa të konstatuar të pa papaguar","484","liability_current",,"",""
"486","Shpenzime të periudhave të ardhshme","486","asset_current",,"",""
"487","Të ardhura të konstatuara të pa arkëtuara","487","asset_current",,"",""
"488","Të ardhura të konstatuara të pa arkëtuara","488","asset_current",,"",""
"503","Letra me vlerë, tituj pronësie në njësitë ekonomike brenda grupit","503","asset_current",,"",""
"504","Letra me vlerë, tituj pronësie në njësitë ekonomike ku ka interesa pjesëmarrëse","504","asset_current",,"",""
"5111","Vlera monetare në tranzit, në lekë","5111","asset_cash",,"",""
"5114","Vlera monetare në tranzit, në monedha të huaja","5114","asset_cash",,"",""
"5121","Vlera monetare ne lekë","5121","asset_cash",,"",""
"5124","Vlera monetare në monedha të huaja","5124","asset_cash",,"",""
"519","Llogari bankare të zbuluara (overdraftet bankare)","519","asset_cash",,"",""
"5311","Vlera monetare ne lekë","5311","asset_cash",,"",""
"5314","Vlera monetare në monedha të huaja","5314","asset_cash",,"",""
"5321","Pulla atimore","5321","asset_cash",,"",""
"5322","Bileta","5322","asset_cash",,"",""
"5328","Vlera të tjera","5328","asset_cash",,"",""
"5411","Hua në lekë","5411","asset_current",,"",""
"5412","Hua në monedha të huaja","5412","asset_current",,"",""
"5421","Hua në lekë","5421","asset_current",,"",""
"5422","Hua në monedha të huaja","5422","asset_current",,"",""
"5431","Letra me vlerë të blera, në lekë","5431","asset_current",,"",""
"5432","Letra me vlerë të blera, në monedha të huaja","5432","asset_current",,"",""
"5441","Letra me vlerë të emetuara, në lekë","5441","asset_current",,"",""
"5442","Letra me vlerë të emetuara, në monedhë të huaj","5442","asset_current",,"",""
"551","Tituj pronësie në njësitë ekonomike brenda grupit","551","asset_current",,"",""
"552","Aksionet e thesarit","552","asset_current",,"",""
"553","Tituj pronësie në njësi ekonomike ku ka interesa pjesëmarrëse","553","asset_current",,"",""
"5541","Tituj të huadhënies në njësitë ekonomike brenda grupit","5541","asset_current",,"",""
"5542","Tituj të huadhënies në njësi ekonomike ku ka interesa pjesëmarrëse","5542","asset_current",,"",""
"5543","Të tjera","5543","asset_current",,"",""
"5903","Për titujt e pronësisë","5903","asset_current",,"",""
"5905","Për titujt e huamarrjes / huadhënies","5905","asset_current",,"",""
"599","Për të tjera aktive financiare","599","asset_current",,"",""
"601","Blerje / Shpenzime të materialeve","601","expense_direct_cost",,"",""
"602","Blerje / Shpenzime të materialeve të tjera","602","expense_direct_cost",,"",""
"605","Blerje / Shpenzime mallrash, shërbimesh","605","expense_direct_cost",,"",""
"611","Trajtime të përgjithshme","611","expense",,"",""
"613","Qera","613","expense",,"",""
"615","Mirëmbajtje dhe riparime","615","expense",,"",""
"616","Sigurime","616","expense",,"",""
"617","Kërkime dhe zhvillime","617","expense",,"",""
"618","Të tjera","618","expense",,"",""
"621","Personeli jashtë njësisë","621","expense",,"",""
"622","Pagesa të ndërmjetësve dhe honorare","622","expense",,"",""
"623","Shpenzime për koncesione, patenta, liçensa dhe  të ngjashme","623","expense",,"",""
"624","Publicitet, reklama","624","expense",,"",""
"625","Transferime, udhëtime, dieta","625","expense",,"",""
"626","Shpenzime postare dhe telekomunikacioni","626","expense",,"",""
"6271","Për blerjet","6271","expense",,"",""
"6272","Për shitjet","6272","expense",,"",""
"6276","Për personelin","6276","expense",,"",""
"632","Taksa, tarifa doganore","632","expense",,"",""
"633","Akciza","633","expense",,"",""
"634","Taksa dhe tarifa vendore","634","expense",,"",""
"635","Taksa e regjistrimit","635","expense",,"",""
"638","Tatime të tjera","638","expense",,"",""
"641","Pagat dhe shpërblimet e personelit","641","expense",,"",""
"644","Sigurimet shoqërore dhe shëndetësore","644","expense",,"",""
"645","Kontribute dhe kuota të tjera për personelin","645","expense",,"",""
"648","Shpenzime të tjera për personelin","648","expense",,"",""
"653","Sponsorizime, ndihma dhe financime të tjera të ngjashme","653","expense",,"",""
"654","Shpenzime për pritje dhe përfaqësime","654","expense",,"",""
"657","Gjoba, kamatvonesa dhe dëmshpërblime","657","expense",,"",""
"658","Shpenzime të tjera","658","expense",,"",""
"661","Shpenzime financiare në njësitë ekonomike brenda grupit","661","expense",,"",""
"662","Shpenzime financiare në njësitë ekonomike ku ka interesa pjesëmarrëse","662","expense",,"",""
"665","Humbje nga shitja e letrave me vlerë","665","expense",,"",""
"667","Shpenzime për interesa","667","expense",,"",""
"668","Shpenzime financiare të tjera","668","expense",,"",""
"6811","Zhvlerësimet e aktiveve afatgjata","6811","expense_depreciation",,"",""
"6812","Konsumi / Amortizimi i aktiveve afatgjata","6812","expense_depreciation",,"",""
"686","Për aktivet financiare","686","expense_depreciation",,"",""
"687","Shpenzime të tjera (këtu përfshihen edhe humbjet nga rivlerësimi i aktiveve kur ajo njihet në rezultat)","687","expense_depreciation",,"",""
"701","Shitje e produkteve të gatshme","701","income",,"",""
"702","Shitje e produkteve të ndërmjetme","702","income",,"",""
"703","Shitje e nënprodukteve","703","income",,"",""
"704","Shitje e punimeve dhe e shërbimeve","704","income",,"",""
"705","Shitje mallrash","705","income",,"",""
"7081","Qera","7081","income",,"",""
"7082","Komisione","7082","income",,"",""
"7083","Transport për të tretët","7083","income",,"",""
"721","Prodhimi i aktiveve afatgjata jomateriale","721","income_other",,"",""
"722","Prodhimi i aktiveve afatgjata materiale","722","income_other",,"",""
"761","Të ardhura financiare nga njësitë ekonomike brenda grupit","761","income_other",,"",""
"762","Të ardhura financiare nga njësitë ekonomike ku ka interesa pjesëmarrëse","762","income_other",,"",""
"763","Të ardhura nga dividendët","763","income_other",,"",""
"765","Fitim nga shitja e letrave me vlerë","765","income_other",,"",""
"767","Të ardhura nga interesat","767","income_other",,"",""
"768","Të ardhura të tjera financiare","768","income_other",,"",""
"890","Bilanc Celje","890","off_balance",,"",""
"891","Bilanc Mbyllje","891","off_balance",,"",""